PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-06,15:56:53.66,1,1,"Knowles, Nathan",1000075454,Right,WM_TRI,"Delossantos, Joe",1000080458,Right,WM_TRI,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.78811,-1.691872,-0.584226,2285.638112,154.287131,11:15,5.55986,0.45779,4.9433,-31.09269,11.47544,-4.82571,1.36935,-0.4965,75.43596,-7.378858,-1.43611,0.469585,,,,,,,,,,,,2.22102,6.60079,-0.39681,50,5.37029,1.43302,-119.954,-4.65866,3.21197,24.82081,-22.62827,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,28eb9890-45b1-11ed-990a-975020632eee,80.26762,,,7.35216,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:56:53.66,2022-10-06T15:56:53.6628558-04:00,2022-10-06T19:56:53.6628558Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,75e324e1-063f-42df-8d85-70cfadd7d94a,55.55484,-121.09795,12.41041,5.56097,-3.61576,-11.31413,-0.45945,1.28498,1.60598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-06,15:57:14.04,1,2,"Knowles, Nathan",1000075454,Right,WM_TRI,"Delossantos, Joe",1000080458,Right,WM_TRI,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.43415,4.401905,1.421665,2260.072189,28.159298,7:00,5.52473,0.42832,4.65821,-79.34591,-22.34127,-13.07194,3.10405,0.68989,65.40864,-9.813593,-0.873002,0.543409,,,,,,,,,,,,6.79768,-11.62138,-0.56089,50,5.90231,-2.06306,-104.68045,5.17972,7.3951,20.89707,-44.81679,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,351a08e0-45b1-11ed-990a-975020632eee,69.36299,,,7.02551,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:57:14.04,2022-10-06T15:57:14.0467022-04:00,2022-10-06T19:57:14.0467022Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,735c9dc4-742d-44b9-b8cd-285232481d77,55.84714,-105.84126,10.44854,5.54544,7.66925,-22.4084,-0.43488,-2.47386,3.69755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-06,15:57:29.24,1,3,"Knowles, Nathan",1000075454,Right,WM_TRI,"Delossantos, Joe",1000080458,Right,WM_TRI,Undefined,1,Top,0,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.90894,0.083158,0.435644,2358.367844,173.501174,11:45,5.79733,0.41973,4.7129,-32.11738,11.37942,-1.13945,3.19981,0.73824,74.95288,-5.771755,0.235495,0.474679,,,,,,,,,,,,0.67626,5.97036,-0.46272,50,5.77759,-0.85215,-118.77462,-1.01317,0.96726,22.48143,-23.63452,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,3e1365e0-45b1-11ed-990a-975020632eee,79.40618,,,6.95606,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:57:29.24,2022-10-06T15:57:29.2416334-04:00,2022-10-06T19:57:29.2416334Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,a63e00d3-b903-4a60-8db6-1b7d2a73579a,55.78459,-119.86451,11.24072,5.79893,0.13263,-11.81726,-0.42027,-0.89904,0.48363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-06,15:57:58.12,2,1,"Knowles, Nathan",1000075454,Right,WM_TRI,"Burke, Tyler",10111490,Right,WM_TRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.74283,-0.898473,0.975809,2372.663892,185.107987,12:15,5.65817,0.09326,5.29825,-16.48174,22.0167,1.84335,3.44096,1.1631,78.11462,-4.056779,1.302866,0.446573,,,,,,,,,,,,-0.60535,11.67162,-0.18336,50,5.56513,-2.22384,-125.64893,-2.44407,-0.95443,28.72804,-13.77181,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,4f61f0a0-45b1-11ed-990a-975020632eee,84.40368,,,8.62821,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:57:58.12,2022-10-06T15:57:58.1272398-04:00,2022-10-06T19:57:58.1272398Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,1bafd026-2372-4b95-9ebb-7e19a4394091,55.1966,-126.8315,14.36402,5.65407,-1.87716,-6.88591,-0.09262,-2.18455,-0.47721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-06,15:58:10.77,2,2,"Knowles, Nathan",1000075454,Right,WM_TRI,"Burke, Tyler",10111490,Right,WM_TRI,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.45477,0.988463,1.451841,2330.490628,170.318875,11:45,5.5705,0.17065,4.85213,-30.14998,13.63107,-2.09063,3.99411,1.3711,74.40787,-4.54566,1.084073,0.476228,,,,,,,,,,,,1.4039,6.86693,-0.31219,50,5.64303,-2.89681,-118.04722,0.96727,1.98622,21.9207,-22.4589,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,56dd6030-45b1-11ed-990a-975020632eee,79.14796,,,7.0469,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:58:10.77,2022-10-06T15:58:10.7761486-04:00,2022-10-06T19:58:10.7761486Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,8d9e09e5-e1a3-4eef-b8c8-83dee844d8fd,55.64207,-119.09031,10.96035,5.57158,2.03597,-11.22945,-0.1721,-2.99133,0.99311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-10-06,15:58:34.08,2,3,"Knowles, Nathan",1000075454,Right,WM_TRI,"Burke, Tyler",10111490,Right,WM_TRI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.66671,-2.000662,-1.104875,2457.048465,188.691751,12:15,5.56053,0.05947,5.66484,-15.27973,22.76919,3.26886,2.42058,-0.69851,78.14935,-4.955939,-0.52083,0.443959,,,,,,,,,,,,-1.99602,12.54914,0.03188,50,5.38195,2.27927,-125.56284,-4.77848,-3.14335,28.64347,-12.41153,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,64c36b90-45b1-11ed-990a-975020632eee,84.90076,,,8.51736,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:58:34.08,2022-10-06T15:58:34.0883278-04:00,2022-10-06T19:58:34.0883278Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,b5427f14-96bb-4e55-9a4a-84d4de9bb088,54.83031,-126.65994,14.32173,5.55587,-4.3031,-6.20577,-0.05772,2.39966,-1.57168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-06,15:58:50.81,2,4,"Knowles, Nathan",1000075454,Right,WM_TRI,"Burke, Tyler",10111490,Right,WM_TRI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.36056,-0.919434,0.430429,2471.73362,203.282977,12:45,5.50626,0.25619,5.26096,-16.38639,20.8617,8.38493,3.27681,1.35934,79.37566,-4.05603,1.917378,0.439262,,,,,,,,,,,,-4.01453,11.08382,-0.30193,50,5.41067,-1.35224,-127.9641,-2.54016,-6.54583,30.50456,-14.10155,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,6ec5d420-45b1-11ed-990a-975020632eee,85.80862,,,8.98491,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:58:50.81,2022-10-06T15:58:50.8132686-04:00,2022-10-06T19:58:50.8132686Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,671d235b-32c8-4519-91aa-787d3832e039,55.23365,-129.20569,15.25228,5.50238,-1.9662,-7.05078,-0.25231,-1.08582,-3.27292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-06,15:59:07.79,2,5,"Knowles, Nathan",1000075454,Right,WM_TRI,"Burke, Tyler",10111490,Right,WM_TRI,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.25102,-0.45884,-0.362943,2476.787801,192.80224,12:30,5.56461,0.1264,5.42881,-14.48438,22.55131,4.81823,3.92782,0.18799,79.31676,-3.267997,0.494234,0.438008,,,,,,,,,,,,-2.51394,11.82009,-0.09758,50,5.51437,0.58862,-127.86959,-1.40734,-4.10014,30.03752,-12.8959,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,78cb9810-45b1-11ed-990a-975020632eee,86.0543,,,8.93426,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:59:07.79,2022-10-06T15:59:07.7912910-04:00,2022-10-06T19:59:07.7912910Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,6c5cd90a-f3fc-4c87-a64c-0d14efecbe93,55.06551,-129.05403,15.01876,5.55984,-0.89883,-6.44795,-0.12398,0.7503,-2.05007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-10-06,15:59:37.32,3,1,"Knowles, Nathan",1000075454,Right,WM_TRI,"Goranson, Nathan",1000123432,Right,WM_TRI,Undefined,1,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,74.23954,2.45101,0.314934,2286.069746,27.087076,7:00,5.4758,0.19791,5.13803,-73.89598,-20.39651,-11.47591,1.62725,-0.46185,66.93615,-10.907423,-1.723037,0.526437,75.19105,-7.81916,-40.158265,,,,,12.01511,6.01391,-32.448374,0.099887,5.86118,-10.59583,-0.21795,50,5.64767,-0.14867,-107.51503,2.06154,6.66373,23.62343,-44.22073,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,8a814910-45b1-11ed-990a-975020632eee,71.59919,1.50106,,7.30339,,,,1.7852,1.50106,0.60272,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,19:59:37.32,2022-10-06T15:59:37.3226830-04:00,2022-10-06T19:59:37.3226830Z,GroundBall,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,e97cab99-c77f-42b5-b41d-3bd28432878e,55.36582,-108.68762,11.81171,5.49087,4.25652,-22.11037,-0.20236,-0.47944,3.33187,180,1.78302,83.6351,,,,,,,,1.50145,-15.02759,,,,,,,,0.60455,-70.57277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2022-10-06,16:00:16.63,4,1,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carmichael, Lucas",1000129646,Left,WM_TRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.60147,-1.212472,-0.590554,2448.470269,205.745553,12:45,5.40439,0.45526,5.58354,-17.34804,20.30757,9.08756,2.82619,0.66103,78.2873,-4.552656,1.031131,0.441658,,,,,,,,,,,,-4.74516,11.05485,-0.41035,50,5.28928,0.8971,-126.83444,-3.16931,-7.55494,31.41021,-14.57319,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,a1edfd50-45b1-11ed-990a-975020632eee,85.34303,,,9.31417,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:00:16.63,2022-10-06T16:00:16.6342478-04:00,2022-10-06T20:00:16.6342478Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,4a31c54a-ec03-4fb1-b0e7-a12e43697db0,54.90982,-128.04457,15.70511,5.40056,-2.60786,-7.2866,-0.45052,1.18817,-3.77747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
